"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"236",45,4199248.69872573
"237",45,4199248.69887713
"238",45,4199248.69903752
"239",45,4199248.69878556
"240",45,4199248.69910267
"241",45,4199248.67980028
"242",45,4199248.679908
"243",45,4199248.679842
"244",45,4199248.67995152
"245",45,4199248.67990299
"246",45,4199248.67999698
"247",45,4199248.6800348
"248",45,4199248.67996467
"249",45,4199248.68007398
"250",45,4199248.68002615
"251",45,4199248.68041952
"252",45,4199248.68076442
"253",45,4199248.68033436
"254",45,4199248.68036697
"255",45,4199248.68046558
"256",45,4199248.68039868
"257",45,4199248.68052293
"258",45,4199248.68043061
"259",45,4199248.68046665
"260",45,4199248.6808936
"261",45,4199248.68049898
"262",45,4199248.68052844
"263",45,4199248.68055957
"264",45,4199248.68059709
"265",45,4199248.6806348
"266",45,4199248.68067213
"267",45,4199248.68081779
"268",45,4199248.680928
"269",45,4199248.68169025
"270",45,4199248.6816425
"271",45,4199248.68174453
"272",45,4199248.68169504
"273",45,4199248.68180978
"274",45,4199248.681752
"275",45,4199248.68187274
"276",45,4199248.68181301
"277",45,4199248.68230368
"278",45,4199248.68235417
"279",45,4199248.68243824
"280",45,4199248.69718819
"281",45,4199248.69714271
"282",45,4199248.69720244
"283",45,4199248.69725726
"284",45,4199248.69738793
"285",45,4199248.69743814
"286",45,4199248.6973905
"287",45,4199248.69750475
"288",45,4199248.69744395
"289",45,4199248.69755879
"290",45,4199248.69750015
"291",45,4199248.69760242
"292",45,4199248.69755467
"293",45,4199248.69764722
"294",45,4199248.69761294
"295",45,4199248.69766265
"296",45,4199248.69780373
"297",45,4199248.69785659
"298",45,4199248.69795238
"299",45,4199248.69781474
"300",45,4199248.69796408
"301",45,4199248.69787851
"302",45,4199248.69800966
"303",45,4199248.6980576
"304",45,4199248.69804394
"305",45,4199248.6980884
"306",45,4199248.69813351
"307",45,4199248.69827012
"308",45,4199248.69817914
"309",45,4199248.69832554
"310",45,4199248.69822432
"311",45,4199248.69837544
"312",45,4199248.69843027
"313",45,4199248.69848184
"314",45,4199248.69853952
"315",45,4199248.6989417
"316",45,4199248.69903399
"317",45,4199248.69898964
"318",45,4199248.69909136
"319",45,4199248.69915238
"320",45,4199248.69920631
"321",45,4199248.69912002
"322",45,4199248.69917062
"323",45,4199248.69922191
"324",45,4199248.69927408
"325",45,4199248.69938198
"326",45,4199248.69933076
"327",45,4199248.69943893
"328",45,4199248.69949455
"329",45,4199248.69955655
"330",45,4199248.69972036
"331",45,4199248.69962217
"332",45,4199248.69977076
"333",45,4199248.69970156
"334",45,4199248.69975215
"335",45,4199248.69980059
"336",45,4199248.69992728
"337",45,4199248.69986466
"338",45,4199248.69998495
"339",45,4199248.70003093
"340",45,4199248.69992184
"341",45,4199248.70008673
"342",45,4199248.69997901
"343",45,4199248.70015197
"344",45,4199248.70003374
"345",45,4199248.70009328
